/s,suffix
3cool5u,too cool for you
420,marijuana
afaik,as far as i know
afk,away from keyboard
asl,age sex location
atm,at the moment
atw,all the way
ayy,yeah
bae,baby
bb,be back
bbiab,be back in a bit
bbl,be back later
bbs,be back soon
bc,because
bf,boyfriend
bff,best friend forever
bork,broken
brb,be right back
btw,by the way
cba,can't be arsed
convo,conversation
cp,child porn
cya,see ya later
cya,see you later
dank,similar to cool
dc,don't care
dem feels,reaction to emotional text
fml,fuck my life
ftfy,fixed that for you
ftl,for the lose
ftw,for the win
fyi,for your information
g2g,got to go
g4u,good for you
gf,girlfriend
gg,good game
goml,get on my level
gr8,great
gratz,congratulations
gtfo,get the fuck out
guiz,guys
hbu,how about you
hru,how are you
idc,i don't care
idgaf,i don't give a fuck
idk,i don't fucking know
iirc,if i recall correctly
ik,i know
ikr,i know right?
ily,i love you
inb4,in before
irl,in real life
jfc,jesus fucking christ
jk,just kidding
js,just saying
k,okay
kappa,sarcasm
kek,laughter
kms,kill myself
kthx,okay thanks bye
l8r,later
leet,elite
lmao,laughing my ass off
lol,laugh out loud
lrl,laughing really loudly
lrn2,learn to
m8,mate
mfw,my feeling when
mrw,my reaction when
nerf,weaken
ngl,not gonna lie
nm,not much
nmu,not much you?
noob,slang for newbie
nu,cute no
nvm,never mind
ofc,of course
omf,oh my fuck
omg,oh my fucking god
omw,on my way
ooc,out of context
op,overpowered
OP,original post
orly,oh really?
pepe,poorly drawn frog from 4chan
pleb,noob
pleb tier,of noob
plz,please
pron,pornography
pwned,powned
rekt,wrecked
rickroll,common prank involving rick astley
rip,laughter in response to failure
rofl,rolling on floor laughing
rotflol,rolling on floor laughing out loud
rtfm,read the fucking manual
rude,taunt
shank,stab
smd,suck my dick
smh,shake my head
swag,coolness
tbh,to be honest
tf,the fuck
tfw,that feeling when
thx,thanks
til,today i learned
tl,too long
tmw,that moment when
tolo,tits out legs open
topkek,kek
ty,thank you
uwotm8,you what mate?
w00t,exclamation of joy
wb,welcome back
wot,what
wtb,want to buy
wtf,what the fuck
wtg,way to go
wts,want to sell
wuu2,what are you up to?
yarly,yeah really
ymmv,your mileage may vary
yolo,you only live once
yw,you're welcome
